"order","family","genus","species","iucn2020_binomial","phylacine_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n"
"Chiroptera","Vespertilionidae","Arielulus","aureocollaris","Arielulus aureocollaris","Arielulus aureocollaris",14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,NA,NA,NA,NA,NA,NA,"Indomalayan",1
"Chiroptera","Vespertilionidae","Arielulus","circumdatus","Arielulus circumdatus","Arielulus circumdatus",10.4,0.23,NA,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2100,1300,800,0,NA,0,0,"Indomalayan",1
"Chiroptera","Vespertilionidae","Arielulus","cuprosus","Arielulus cuprosus","Arielulus cuprosus",6.91,NA,NA,35.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1784,0,1784,NA,NA,NA,NA,"Indomalayan",1
"Chiroptera","Vespertilionidae","Arielulus","societatis","Arielulus societatis","Arielulus societatis",8.72,NA,NA,38.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Indomalayan",1
"Chiroptera","Vespertilionidae","Arielulus","torquatus","Arielulus torquatus","Arielulus torquatus",6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Indomalayan",2
"Chiroptera","Phyllostomidae","Ariteus","flavescens","Ariteus flavescens","Ariteus flavescens",10.09,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,40,0,60,40,0,0,0,0,0,60,0,0,0,2,2,"Ar",1,0,0,0,1,1500,0,1500,1,NA,0,0,"Neotropical",2
"Chiroptera","Phyllostomidae","Artibeus","aequatorialis","Artibeus aequatorialis","Artibeus jamaicensis",46.1,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,1106,22,1084,NA,NA,NA,NA,"Neotropical",1
"Chiroptera","Phyllostomidae","Artibeus","amplus","Artibeus amplus","Artibeus amplus",61.04,NA,NA,70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,2630,25,2605,0,NA,1,0,"Neotropical",1
"Chiroptera","Phyllostomidae","Artibeus","concolor","Artibeus concolor","Artibeus concolor",19.675,0.633,NA,47.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,1,"Ar",1,0,0,0,1,1000,NA,NA,0,NA,0,0,"Neotropical",1
"Chiroptera","Phyllostomidae","Artibeus","fimbriatus","Artibeus fimbriatus","Artibeus fimbriatus",63.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",1
"Chiroptera","Phyllostomidae","Artibeus","fraterculus","Artibeus fraterculus","Artibeus fraterculus",45.65,NA,93,56,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",2
"Chiroptera","Phyllostomidae","Artibeus","hirsutus","Artibeus hirsutus","Artibeus hirsutus",40.42,NA,70,55.88,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",3
"Chiroptera","Phyllostomidae","Artibeus","inopinatus","Artibeus inopinatus","Artibeus inopinatus",18.99,NA,72,50.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,1000,NA,NA,0,NA,1,0,"Neotropical",3
"Chiroptera","Phyllostomidae","Artibeus","jamaicensis","Artibeus jamaicensis","Artibeus jamaicensis",46.1,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",4
"Chiroptera","Phyllostomidae","Artibeus","lituratus","Artibeus lituratus","Artibeus lituratus",46.1,1.05,93,70.33,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,NA,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Neotropical",2
"Chiroptera","Phyllostomidae","Artibeus","obscurus","Artibeus obscurus","Artibeus obscurus",45.65,NA,93,NA,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,NA,NA,NA,NA,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,500,NA,NA,0,NA,1,0,"Neotropical",2
"Chiroptera","Phyllostomidae","Artibeus","planirostris","Artibeus planirostris","Artibeus planirostris",47,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,NA,NA,0,2,NA,NA,20,0,80,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Neotropical",2
"Chiroptera","Phyllostomidae","Artibeus","schwartzi","Artibeus schwartzi","Artibeus schwartzi",46.1,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,"Ar",1,0,0,0,1,120,NA,NA,NA,NA,NA,NA,"Neotropical",1
"Chiroptera","Hipposideridae","Asellia","arabica","Asellia arabica","Asellia tridens",10,0.24,56,51.33,NA,730.5,730.5,730.5,796.6,66.1,NA,1,1,365,NA,80.88,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,"Afrotropical",1
"Chiroptera","Hipposideridae","Asellia","italosomalica","Asellia italosomalica","Asellia tridens",10,0.24,56,51.33,NA,730.5,730.5,730.5,796.6,66.1,NA,1,1,365,NA,80.88,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,"Afrotropical",5
"Chiroptera","Hipposideridae","Asellia","patrizii","Asellia patrizii","Asellia patrizii",8.72,NA,NA,38.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,0,NA,0,NA,1,0,"Afrotropical",3
