iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Mazama temama,Mazama temama,Cetartiodactyla,23000,540.5,96.2050407059368,1350,100,0,0,1,2,G,2,2,1,0,6241.5,1.22,1,333.558250450382,225,182.308,380.116,527,2305.9325,2.17497539868761,2780,5.94642814114331
Not recognised,Megaceroides algericus,Cetartiodactyla,800000,17348.9165382143,410.210834799359,2544.78176916668,100,0,0,1,1,G,3,2,1,0,9009.31000556622,1.07803166666667,1.02377746933899,382.611367382543,266.125505526666,191.64644678,723.302893733339,956.150848179999,3063.83534631548,4.03163795207334,2506.723,26.972960208658
Megadendromus nikolausi,Megadendromus nikolausi,Rodentia,52,4.31787253333333,1.07377809763783,129,51,10,39,2,3,G,1,1,1,0,1375.80514584897,3.77110500000001,3.07485,71.0524081734302,27.6235826250002,31.70822058,117.06140268,149.833548266733,683.107626633344,1133.75221222401,800,0.208500789725867
Lyroderma lyra,Megaderma lyra,Chiroptera,38.935,8.86,0.8935,73.99,0,60,40,3,3,G,4,1,2,0,5110,1,1,353.604489390614,151.04,44.58,580.38,709.72,1985.8012,3321.48181553265,1000,NA
Megaderma spasma,Megaderma spasma,Chiroptera,38.6,8.86,0.667,73.99,0,60,40,3,3,G,3,1,2,0,5110,1,1,356.907906775599,150,38.04,580.38,730.38,1984.82485729248,3272.7216351119,1600,NA
Megadontomys cryophilus,Megadontomys cryophilus,Rodentia,57,5.51973149999997,1.20364253311188,151.307192828947,100,0,0,1,2,G,1,1,2,0,1821.82906249653,2.33329750000001,3.348545,49.8813621651901,31.4702009375001,26.2719097,100.75487644,139.927932180067,680.913832774986,917.135835402435,1100,0.219299194194836
Megadontomys nelsoni,Megadontomys nelsoni,Rodentia,57,5.47561499999996,1.20283279091414,151.714594078947,100,0,0,1,2,G,1,1,2,0,1819.45047916417,2.4348825,3.36702,49.8715613757201,30.9973738475001,26.58267018,101.6743275,139.678374943367,687.887350808315,664.443615957249,1500,0.219299194194836
Megadontomys thomasi,Megadontomys thomasi,Rodentia,110.8,4.5,1.26,351,100,0,0,1,2,G,1,1,1,0,1532.70800000438,2.65,4.14874000000002,47.7845208680849,30.239571905,30.158,69.52,112.480093212001,631.765024728043,2222.65714164671,500,0.316084160725936
Megaerops ecaudatus,Megaerops ecaudatus,Chiroptera,26.29,7.30493000000001,0.82233,102,100,0,0,1,1,Ar,1,1,2,0,3727.65600720964,1.02852500000001,1.98582,247.525621535314,122.638276860001,62.4754282399999,268.067329659999,365.664581,1551.41222262605,2568.98533019329,2900,NA
Megaerops kusnotoi,Megaerops kusnotoi,Chiroptera,19.89,6.687698,0.82034835666666,87.9383800000001,99,0,1,1,1,Ar,1,1,2,0,4990.73620191873,1.03860000000001,1.97488,248.428403188211,124.672921155001,70.5244841799999,297.6317503,389.8264938,1825,2613.01086226088,1695.943,NA
Megaerops niphanae,Megaerops niphanae,Chiroptera,26.3,7.91166000000004,0.958,97.6304800000001,100,0,0,1,1,Ar,1,1,2,0,3583.43872805112,1.028075,1.993905,245.022336115379,122.90006646,60.48381818,259.542840099999,355.84973972,1500.57501595363,2576.17231976963,2000,NA
Megaerops wetmorei,Megaerops wetmorei,Chiroptera,18.7,6.14381779999993,0.767539586666665,84.443555,99,0,1,1,1,Ar,1,1,2,0,3413.86533108217,1.01221,1.98718,245.720642821549,123.462182,65.4505035599998,259.787484399999,361.12477634,1470.95690739598,2717.34389062406,400,NA
Not recognised,Megaladapis edwardsi,Primates,85000,1153.537363925,131.051699994676,1045.678115,68.2075,14.645,16.918,1,3,Ar,1,2,2,0,10660.6740811368,1.31422250000001,1.051871494117,433.819295940377,171.6639682004,180.92494098,934.790665379997,1103.73893462,3420.2621413777,35.4385632629219,1229.61966666667,11.9373633379212
Not recognised,Megaladapis grandidieri,Primates,74000,1094.730023925,126.886168203402,1037.896745,68.3675,14.559,16.852,1,3,Ar,1,2,2,0,10672.9587644714,1.31061250000001,1.046616494117,434.533137006762,170.1036905254,181.2761184,934.004661799997,1105.46307958,3420.32731269436,35.4396217743356,1219.10133333333,11.5031687344361
Not recognised,Megaladapis madagascariensis,Primates,46500,793.47765726,106.280403468322,951.682474999998,68.9865,14.142,16.4215,1,3,Ar,1,2,2,0,10426.585031842,1.30058250000001,1.055144060712,415.818205455847,166.5979118879,174.97222862,897.449554459997,1060.91975742,3437.34083016139,35.7753728873528,1284.52033333333,9.42070688877148
Not recognised,Megalibgwilia ramsayi,Monotremata,10000,830.400046310002,57.8879240002886,672.278970000001,0,0,100,3,1,G,1,1,1,0,10385.8928041884,1.45534666666667,1.055879938678,385.756967835589,34.9311073600001,151.09116292,731.457928840001,807.287823379,3666.75579256682,214.021954037214,2039.589,17.8712011683597
Not recognised,Megaloceros giganteus,Cetartiodactyla,699842,15927.7389182143,374.429236480213,2468.32209216668,100,0,0,1,1,G,3,2,1,0,8905.98905002153,1.069085,1.01930413600566,380.950080243433,262.847512851666,189.95759924,722.534224533339,941.708497233333,2998.38810724857,3.36993420311195,2599.892,26.0762911691894
Not recognised,Megalocnus rodens,Pilosa,149968.5,2174.898655755,156.689576530621,1587.55230500001,100,0,0,1,1,G,4,2,1,0,11338.8573124587,1.24789,1.039223619935,405.368938736215,230.414918209999,122.7001947,909.893823350002,1130.27507601333,3628.99361911744,90.0531616482837,2613.456,25.6847170755857
