"","taxonid","scientific_name","kingdom","phylum","class","order","family","genus","main_common_name","authority","published_year","assessment_date","category","criteria","population_trend","marine_system","freshwater_system","terrestrial_system","assessor","reviewer","aoo_km2","eoo_km2","elevation_upper","elevation_lower","depth_upper","depth_lower","errata_flag","errata_reason","amended_flag","amended_reason","iucn2020_binomial"
"24",41534,"Arielulus circumdatus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Arielulus","Bronze Sprite","(Temminck, 1840)",2019,"2018-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Bates, P., Bumrungsri, S., Francis, C., Csorba, G., Walston, J., Molur, S., Srinivasulu, C. & Kruskop, S.V.","Wiantoro, S.",NA,NA,2100,830,NA,NA,NA,NA,NA,NA,"Arielulus circumdatus"
"25",40775,"Arielulus cuprosus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Arielulus","Coppery Sprite","(Hill &amp; Francis, 1984)",2016,"2014-12-10","VU","B2ab(iii)","Unknown",FALSE,FALSE,TRUE,"MacArthur, E.","Piraccini, R.","500-1999","103384",1784,0,NA,NA,NA,NA,NA,NA,"Arielulus cuprosus"
"26",40776,"Arielulus societatis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Arielulus","Social Sprite","(Hill, 1972)",2020,"2020-09-30","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"Francis, C.M. & Csorba, G.","Waldien, D.L.",NA,NA,40,0,NA,NA,NA,NA,NA,NA,"Arielulus societatis"
"27",40032,"Arielulus torquatus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Arielulus","Necklace Sprite","Csorba &amp; Lee, 1999",2019,"2018-09-01","LC",NA,"Stable",FALSE,FALSE,TRUE,"Huang, J.C.-C. & Liu, J.-N.","Fukui, D.",NA,NA,1840,178,NA,NA,NA,NA,NA,NA,"Arielulus torquatus"
"28",2110,"Ariteus flavescens","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Ariteus","Jamaican Fig-eating Bat","(Gray, 1831)",2019,"2016-07-08","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Davalos, L., Arroyo-Cabrales, J., Miller, B., Reid, F., Cuarón, A.D. & de Grammont, P.C.","Solari, S.",NA,NA,1500,0,NA,NA,NA,NA,NA,NA,"Ariteus flavescens"
"29",88109970,"Artibeus aequatorialis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus",NA,"Andersen, 1906",2019,"2016-07-11","LC",NA,"Stable",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,1106,22,NA,NA,NA,NA,NA,NA,"Artibeus aequatorialis"
"30",2121,"Artibeus amplus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Large Fruit-eating Bat","Handley, 1987",2018,"2018-02-20","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,2630,25,NA,NA,NA,NA,NA,NA,"Artibeus amplus"
"31",2125,"Artibeus concolor","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Brown Fruit-eating Bat","Peters, 1865",2016,"2016-07-04","LC",NA,"Stable",FALSE,FALSE,TRUE,"Sampaio, E., Lim, B. & Peters, S.","Solari, S.",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,"Artibeus concolor"
"32",2126,"Artibeus fimbriatus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Fringed Fruit-eating Bat","Gray, 1838",2015,"2015-07-20","LC",NA,"Stable",FALSE,FALSE,TRUE,"Barquez, R. & Diaz, M.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artibeus fimbriatus"
"33",2127,"Artibeus fraterculus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Fraternal Fruit-eating Bat","Anthony, 1924",2015,"2015-07-20","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"Molinari, J. & Aguirre, L.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artibeus fraterculus"
"34",2131,"Artibeus hirsutus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Hairy Fruit-eating Bat","K. Andersen, 1906",2015,"2015-07-20","LC",NA,"Stable",FALSE,FALSE,TRUE,"Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artibeus hirsutus"
"35",2132,"Artibeus inopinatus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Honduran Fruit-eating Bat","Davis &amp; Carter, 1964",2016,"2016-06-29","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Reid, F. & Medina, A.","Solari, S.",NA,"58494",1000,NA,NA,NA,NA,NA,NA,NA,"Artibeus inopinatus"
"36",88109731,"Artibeus jamaicensis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Jamaican Fruit-eating Bat","Leach, 1821",2016,"2016-07-02","LC",NA,"Stable",FALSE,FALSE,TRUE,"Miller, B., Reid, F., Arroyo-Cabrales, J., Cuarón, A.D. & de Grammont, P.C.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artibeus jamaicensis"
"37",2136,"Artibeus lituratus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Great Fruit-eating Bat","(Olfers, 1818)",2015,"2015-07-20","LC",NA,"Stable",FALSE,FALSE,TRUE,"Barquez, R., Perez, S., Miller, B. & Diaz, M.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artibeus lituratus"
"38",2137,"Artibeus obscurus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Dark Fruit-eating Bat","Schinz, 1821",2016,"2016-07-04","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Sampaio, E., Lim, B. & Peters, S.","Solari, S.",NA,NA,500,NA,NA,NA,NA,NA,NA,NA,"Artibeus obscurus"
"39",2139,"Artibeus planirostris","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","Flat-faced Fruit-eating Bat","(Spix, 1823)",2015,"2015-07-20","LC",NA,"Stable",FALSE,FALSE,TRUE,"Barquez, R. & Diaz, M.","Solari, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artibeus planirostris"
"40",88109897,"Artibeus schwartzi","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus",NA,"Jones, 1978",2016,"2016-08-24","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,"Artibeus schwartzi"
"41",80222726,"Asellia arabica","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Asellia","Arabian Trident Bat","Benda, Vallo, &amp; Reiter, 2011",2017,"2016-06-24","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Benda, P.","Piraccini, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asellia arabica"
"42",80221456,"Asellia italosomalica","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Asellia","Somalian Trident Bat","De Beaux, 1931",2017,"2016-04-27","DD",NA,"Unknown",FALSE,FALSE,TRUE,"Benda, P.","Monadjem, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asellia italosomalica"
