"litters_per_year_n","Synurbic","adult_body_length_mm","altitude_breadth_m","lower_elevation_m","upper_elevation_m","litter_size_n","island_dwelling","disected_by_mountains","glaciation","det_inv","det_vend","det_vect","det_vfish","det_fruit","det_nect","det_seed","det_diet_breadth_n","adult_forearm_length_mm","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","habitat_breadth_n","foraging_stratum","activity_cycle","biogeographical_realm","adult_mass_g","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","virus","cites","vcites","zvirus","fam_EMBALLONURIDAE","fam_HIPPOSIDERIDAE","fam_MOLOSSIDAE","fam_MORMOOPIDAE","fam_NATALIDAE","fam_NYCTERIDAE","fam_PHYLLOSTOMIDAE","fam_PTEROPODIDAE","fam_RHINOLOPHIDAE","fam_VESPERTILIONIDAE","dum_virus","dum_zvirus"
NA,"0",NA,1400,0,1400,1.5,1,"0","0",90,0,0,0,10,0,0,1,44.49,75205.95,-2.95,-11.85,-7.4,161.39,141.09,151.24,1,10.51,1,0.15,343.56,211.3,1663.23,1663.5,2,"A","2","Australasian",13.21,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,NA,1200,0,1200,1,1,"1","0",100,0,0,0,0,0,0,1,71.24,4032279.02,27.54,-20.96,3.28,160.83,72.5,116.66,0,274.41,0,0.09,145.81,250.79,1054.73,1561.93,3,"A","1","Indomalayan, Oceanian",43,100,0,0,"3",3,0,0,1,"1","0","0","0","0","0","0","0","0","0",1,1
NA,"0",58.75,870,30,900,NA,1,"0","0",90,0,0,0,10,0,0,1,38.24,130634.93,-13.1,-25.6,-19.35,50.48,43.61,47.04,8,38.04,10,0.18,141.88,211.89,1185.9,1664.46,2,"A","2","Afrotropical",4.55,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,"0",NA,1500,0,1500,NA,1,"0","0",90,0,0,0,10,0,0,1,41,150538.97,-0.62,-9.91,-5.27,153.01,135.37,144.19,1,13.27,2,0.1,312.79,195.68,1662.75,1682.18,2,"A","2","Australasian",4.31,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,79,NA,NA,NA,NA,0,"0","0",100,0,0,0,0,0,0,1,71.5,2138238,9.38,-6.52,1.42,-58.32,-75.61,-66.97,0,1.77,0,0.12,196.17,252.94,1531.19,1607.22,2,"A","1","Neotropical",12.3,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
1,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31015.35,-5.59,-10.94,-8.26,132.8,121.69,127.25,0,72.64,19,0.1,111.37,246.44,-999,-999,2,"A","2","Australasian, Indomalayan",25.99,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
1,"1",53,1500,0,1500,0.99,0,"1","0",100,0,0,0,0,0,0,1,42.23,841946.43,27.13,9.36,18.24,-71.82,-110.03,-90.93,3,88.19,8,0.09,106.96,216.78,1061.85,1571.82,3,"A","1","Neotropical",6.57,100,0,0,"3",0,6,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,"0",NA,1600,0,1600,NA,1,"0","0",90,0,0,0,10,0,0,1,42.5,432542.2,2.22,-9.94,-3.86,161.39,118.75,140.07,1,44.26,2,0.1,257.66,222.55,1703.33,1726.73,2,"A","2","Australasian",5.61,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
1,NA,79.24,200,0,200,1,0,"1","0",100,0,0,0,0,0,0,1,62,9616598.6,31.58,-22.42,4.57,80.5,-17.53,31.48,0,63.6,0,0.11,78.19,241.93,801.94,1539.56,2,"A","2","Afrotropical, Indomalayan, Palearctic",24.215,100,0,0,"3",26,6,3,4,"1","0","0","0","0","0","0","0","0","0",1,1
NA,"0",NA,300,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1213.29,-1.97,-3.58,-2.77,152.32,147.31,149.82,10,11.75,10,0.09,194,251,-999,-999,2,"A","2","Australasian",5.75,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
