"","tip","cites","vcites"
"333","Hipposideros_madurae",0,0
"334","Hipposideros_maggietaylorae",0,0
"335","Hipposideros_marisae",0,0
"336","Hipposideros_megalotis",0,0
"337","Hipposideros_muscinus",0,0
"338","Hipposideros_nequam",0,0
"339","Hipposideros_obscurus",0,0
"340","Hipposideros_orbiculus",0,0
"341","Hipposideros_papua",0,0
"342","Hipposideros_pelingensis",0,0
"343","Hipposideros_pendelburyi",0,0
"344","Hipposideros_pomona",13,9
"345","Hipposideros_pratti",18,1
"346","Hipposideros_pygmaeus",1,0
"347","Hipposideros_ridleyi",0,0
"348","Hipposideros_rotalis",0,0
"349","Hipposideros_ruber",3,3
"350","Hipposideros_scutinares",0,0
"351","Hipposideros_semoni",0,0
"352","Hipposideros_sorenseni",0,0
"353","Hipposideros_speoris",10,0
"354","Hipposideros_stenotis",0,0
"355","Hipposideros_sumbae",0,0
"356","Hipposideros_thomensis",0,0
"357","Hipposideros_turpis",1,0
"358","Hipposideros_vittatus",2,2
"359","Hipposideros_wollastoni",0,0
"360","Histiotus_alienus",0,0
"361","Histiotus_humboldti",0,0
"362","Histiotus_laephotis",0,0
"363","Histiotus_macrotus",1,0
"364","Histiotus_magellanicus",0,0
"365","Histiotus_montanus",5,2
"366","Histiotus_velatus",5,2
"367","Hsunycteris_cadenai",0,0
"368","Hsunycteris_pattoni",0,0
"369","Hsunycteris_thomasi",0,0
"370","Hylonycteris_underwoodi",4,0
"371","Hypsignathus_monstrosus",17,13
"372","Hypsugo_anchietae",0,0
"373","Hypsugo_bemainty",0,0
"374","Hypsugo_dolichodon",1,0
"375","Hypsugo_lanzai",0,0
"376","Ia_io",12,3
"377","Idionycteris_phyllotis",0,0
"378","Kerivoula_africana",0,0
"379","Kerivoula_agnella",0,0
"380","Kerivoula_argentata",0,0
"381","Kerivoula_cuprosa",0,0
"382","Kerivoula_eriophora",0,0
"383","Kerivoula_flora",0,0
"384","Kerivoula_hardwickii",7,0
"385","Kerivoula_intermedia",0,0
"386","Kerivoula_kachinensis",0,0
"387","Kerivoula_krauensis",0,0
"388","Kerivoula_lanosa",0,0
"389","Kerivoula_lenis",0,0
"390","Kerivoula_minuta",0,0
"391","Kerivoula_muscina",0,0
"392","Kerivoula_myrella",0,0
"393","Kerivoula_papillosa",0,0
"394","Kerivoula_pellucida",1,0
"395","Kerivoula_phalaena",0,0
"396","Kerivoula_picta",0,0
"397","Kerivoula_smithii",0,0
"398","Kerivoula_titania",0,0
"399","Kerivoula_whiteheadi",0,0
"400","Laephotis_angolensis",0,0
"401","Laephotis_botswanae",0,0
"402","Laephotis_namibensis",0,0
"403","Laephotis_wintoni",1,0
"404","Lampronycteris_brachyotis",1,0
