"cnames","species","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete","iucn2020_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n"
"Rhynchonycteris naso","Rhynchonycteris naso","Rhynchonycteris_naso","Rhynchonycteris","EMBALLONURIDAE","Yangochiroptera","Rhynchonycteris_naso",8,5,0,"keep","keep",0,"yes","Rhynchonycteris naso",4.14,0.11,47.97,38.11,NA,547.5,547.5,NA,547.5,NA,NA,0.99,2,NA,0.98,70.86,NA,NA,NA,NA,NA,2,NA,45,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1500,NA,NA,0,NA,1,0,"Neotropical",2
"Rousettus aegyptiacus","Rousettus aegyptiacus","Rousettus_aegyptiacus","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_aegyptiacus",921,206,87,"keep","keep",1,"yes","Rousettus aegyptiacus",134,2.6,172.185,93.2,8358.5,315.68,365,365,365,116,NA,1.035,2,NA,21.06,122,73.8,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,"Ar",1,0,0,0,1,4000,NA,NA,0,NA,1,0,"Afrotropical, Palearctic",7
"Rousettus amplexicaudatus","Rousettus amplexicaudatus","Rousettus_amplexicaudatus","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_amplexicaudatus",69,10,3,"keep","keep",1,"yes","Rousettus amplexicaudatus",82.935,1.627,107.63,76.88,2913.917,258.65,258.65,NA,304.16,101.38,NA,0.99,2,NA,12,86.16,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,"Ar",1,0,0,0,1,2200,0,2200,1,NA,1,0,"Australasian, Indomalayan",4
"Rousettus bidens","Rousettus bidens","Rousettus_bidens","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_bidens",0,0,0,"drop","drop",0,"yes","Rousettus bidens",123.22,NA,138,97,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,1060,200,860,1,NA,0,0,"Australasian",2
"Rousettus celebensis","Rousettus celebensis","Rousettus_celebensis","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_celebensis",0,0,0,"drop","drop",0,"yes","Rousettus celebensis",63.07,NA,104.5,71.76,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,"Ar",1,0,0,0,1,1400,0,1400,1,NA,1,0,"Australasian",2
"Rousettus lanosus","Rousettus lanosus","Rousettus_lanosus","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_lanosus",0,2,0,"keep","drop",0,"yes","Rousettus lanosus",103,NA,NA,88.2,6825.5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,"Ar",1,0,0,0,1,4000,500,3500,0,NA,1,0,"Afrotropical",1
"Rousettus leschenaultii","Rousettus leschenaultii","Rousettus_leschenaultii","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_leschenaultii",283,27,13,"keep","keep",1,"yes","Rousettus leschenaultii",96.565,NA,NA,82.25,5110,322.24,236.12,455,278.81,118.33,NA,1.005,2,NA,12,52.34,37,1679.855,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,"Ar",1,0,0,0,1,1140,0,1140,0,NA,1,0,"Indomalayan",2
"Rousettus linduensis","Rousettus linduensis","Rousettus_linduensis","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_linduensis",0,0,0,"drop","drop",NA,"yes","Rousettus linduensis",90.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Australasian",1
"Rousettus madagascariensis","Rousettus madagascariensis","Rousettus_madagascariensis","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_madagascariensis",15,9,2,"keep","keep",0,"yes","Rousettus madagascariensis",65.72,NA,137.495,70.91,NA,365.25,365.25,365.25,489.57,124.32,NA,1.11,1,NA,NA,56,NA,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,"Ar",1,0,0,0,1,950,0,950,1,NA,1,0,"Afrotropical",3
"Rousettus obliviosus","Rousettus obliviosus","Rousettus_obliviosus","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_obliviosus",0,0,0,"drop","drop",0,"yes","Rousettus obliviosus",45.32,NA,NA,72.5,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,"Ar",1,0,0,0,1,1800,10,1790,1,NA,0,0,"Afrotropical",2
