"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","seed","id","id2"
"25",25,0.966363848124854,0.915343915343915,0.955665024630542,0.481481481481481,5835,15000,3,0.001,5,"15000 3 0.001","3"
"26",26,0.964255765199161,0.885513592410144,0.96551724137931,0.574074074074074,5006,15000,3,0.001,6,"15000 3 0.001","3"
"27",27,0.952894246447706,0.936234263820471,0.975369458128079,0.666666666666667,4309,15000,3,0.001,7,"15000 3 0.001","3"
"28",28,0.968652457488935,0.894727239554826,0.945812807881773,0.611111111111111,5895,15000,3,0.001,8,"15000 3 0.001","3"
"29",29,0.974440950384347,0.910691479656997,0.96551724137931,0.537037037037037,7651,15000,3,0.001,9,"15000 3 0.001","3"
"30",30,0.969502678779408,0.912880861156723,0.955665024630542,0.62962962962963,7247,15000,3,0.001,10,"15000 3 0.001","3"
"31",31,0.965863032844165,0.902572523262179,0.970443349753695,0.555555555555556,11696,15000,3,5e-04,1,"15000 3 5e-04","4"
"32",32,0.973881900768693,0.856048166392994,0.955665024630542,0.537037037037037,12286,15000,3,5e-04,2,"15000 3 5e-04","4"
"33",33,0.964197530864198,0.89272030651341,0.940886699507389,0.62962962962963,10448,15000,3,5e-04,3,"15000 3 5e-04","4"
"34",34,0.954239459585372,0.943714650611202,0.970443349753695,0.611111111111111,9282,15000,3,5e-04,4,"15000 3 5e-04","4"
"35",35,0.966975308641975,0.916073709177157,0.955665024630542,0.5,11871,15000,3,5e-04,5,"15000 3 5e-04","4"
"36",36,0.965915443745632,0.885604816639299,0.96551724137931,0.574074074074074,10580,15000,3,5e-04,6,"15000 3 5e-04","4"
"37",37,0.959235965525274,0.937055281882868,0.975369458128079,0.666666666666667,10535,15000,3,5e-04,7,"15000 3 5e-04","4"
"38",38,0.968390402981598,0.893814997263273,0.950738916256158,0.592592592592593,11749,15000,3,5e-04,8,"15000 3 5e-04","4"
"39",39,0.972577451665502,0.913245758073344,0.96551724137931,0.518518518518518,14437,15000,3,5e-04,9,"15000 3 5e-04","4"
"40",40,0.968710691823899,0.913428206531655,0.955665024630542,0.62962962962963,14128,15000,3,5e-04,10,"15000 3 5e-04","4"
"41",41,0.973311204286047,0.9029374201788,0.970443349753695,0.555555555555556,5493,15000,4,0.001,1,"15000 4 0.001","5"
"42",42,0.977311903098067,0.855318372559752,0.960591133004926,0.537037037037037,5266,15000,4,0.001,2,"15000 4 0.001","5"
"43",43,0.968594223153972,0.890348476555373,0.940886699507389,0.611111111111111,4527,15000,4,0.001,3,"15000 4 0.001","5"
"44",44,0.959579548101561,0.944261995986134,0.970443349753695,0.611111111111111,4088,15000,4,0.001,4,"15000 4 0.001","5"
"45",45,0.972862799906825,0.912880861156723,0.955665024630542,0.481481481481481,5370,15000,4,0.001,5,"15000 4 0.001","5"
"46",46,0.970090845562544,0.885513592410144,0.96551724137931,0.574074074074074,4518,15000,4,0.001,6,"15000 4 0.001","5"
"47",47,0.960674353598882,0.936325488049626,0.975369458128079,0.648148148148148,4135,15000,4,0.001,7,"15000 4 0.001","5"
"48",48,0.973695550896809,0.89272030651341,0.950738916256158,0.574074074074074,5081,15000,4,0.001,8,"15000 4 0.001","5"
"49",49,0.974959235965525,0.911968618865171,0.96551724137931,0.518518518518518,5818,15000,4,0.001,9,"15000 4 0.001","5"
"50",50,0.968396226415094,0.914796569968984,0.960591133004926,0.648148148148148,5150,15000,4,0.001,10,"15000 4 0.001","5"
"51",51,0.972163987887258,0.903393541324576,0.970443349753695,0.555555555555556,10524,15000,4,5e-04,1,"15000 4 5e-04","6"
"52",52,0.978063126019101,0.855227148330597,0.955665024630542,0.537037037037037,10868,15000,4,5e-04,2,"15000 4 5e-04","6"
"53",53,0.968233170277195,0.891534391534392,0.940886699507389,0.62962962962963,8919,15000,4,5e-04,3,"15000 4 5e-04","6"
"54",54,0.961029583042162,0.943349753694581,0.975369458128079,0.611111111111111,8475,15000,4,5e-04,4,"15000 4 5e-04","6"
"55",55,0.973858607034708,0.914522897281518,0.955665024630542,0.481481481481481,11087,15000,4,5e-04,5,"15000 4 5e-04","6"
"56",56,0.969735616119264,0.884601350118592,0.96551724137931,0.574074074074074,8949,15000,4,5e-04,6,"15000 4 5e-04","6"
"57",57,0.960132774283718,0.935595694216384,0.975369458128079,0.648148148148148,8032,15000,4,5e-04,7,"15000 4 5e-04","6"
"58",58,0.973229676217098,0.891899288451013,0.950738916256158,0.574074074074074,10155,15000,4,5e-04,8,"15000 4 5e-04","6"
"59",59,0.975570696482646,0.912424740010947,0.96551724137931,0.518518518518518,11936,15000,4,5e-04,9,"15000 4 5e-04","6"
"60",60,0.970184020498486,0.915435139573071,0.955665024630542,0.648148148148148,10942,15000,4,5e-04,10,"15000 4 5e-04","6"
"61",61,0.958409037968786,0.901112935595694,0.96551724137931,0.555555555555556,7088,25000,2,0.001,1,"25000 2 0.001","7"
"62",62,0.971558350803634,0.855318372559752,0.960591133004926,0.537037037037037,8788,25000,2,0.001,2,"25000 2 0.001","7"
"63",63,0.955648730491498,0.892629082284255,0.940886699507389,0.62962962962963,5859,25000,2,0.001,3,"25000 2 0.001","7"
"64",64,0.951001630561379,0.943440977923736,0.975369458128079,0.611111111111111,6355,25000,2,0.001,4,"25000 2 0.001","7"
"65",65,0.966480316794782,0.913975551906586,0.955665024630542,0.5,9060,25000,2,0.001,5,"25000 2 0.001","7"
"66",66,0.95798392732355,0.883232986681263,0.96551724137931,0.574074074074074,6249,25000,2,0.001,6,"25000 2 0.001","7"
"67",67,0.945259725133939,0.937328954570334,0.975369458128079,0.666666666666667,5257,25000,2,0.001,7,"25000 2 0.001","7"
"68",68,0.959818308874913,0.896916621054552,0.950738916256158,0.611111111111111,7025,25000,2,0.001,8,"25000 2 0.001","7"
"69",69,0.96812834847426,0.909505564677978,0.96551724137931,0.555555555555556,9694,25000,2,0.001,9,"25000 2 0.001","7"
"70",70,0.963021197297927,0.912607188469257,0.955665024630542,0.648148148148148,9126,25000,2,0.001,10,"25000 2 0.001","7"
"71",71,0.960616119263918,0.900474365991607,0.96551724137931,0.555555555555556,772,25000,2,0.01,1,"25000 2 0.01","8"
"72",72,0.970224784532961,0.857234081372012,0.955665024630542,0.555555555555556,839,25000,2,0.01,2,"25000 2 0.01","8"
"73",73,0.95993477754484,0.893267651888342,0.945812807881773,0.62962962962963,680,25000,2,0.01,3,"25000 2 0.01","8"
"74",74,0.946686466340554,0.942711184090494,0.975369458128079,0.592592592592593,571,25000,2,0.01,4,"25000 2 0.01","8"
"75",75,0.962240857209411,0.914887794198139,0.950738916256158,0.5,793,25000,2,0.01,5,"25000 2 0.01","8"
"76",76,0.958793384579548,0.884510125889436,0.96551724137931,0.574074074074074,671,25000,2,0.01,6,"25000 2 0.01","8"
"77",77,0.944712322385278,0.93586936690385,0.975369458128079,0.648148148148148,503,25000,2,0.01,7,"25000 2 0.01","8"
"78",78,0.959736780805963,0.898467432950192,0.950738916256158,0.648148148148148,715,25000,2,0.01,8,"25000 2 0.01","8"
"79",79,0.973509201024924,0.906039043970078,0.96551724137931,0.537037037037037,1177,25000,2,0.01,9,"25000 2 0.01","8"
"80",80,0.96324248777079,0.912972085385878,0.955665024630542,0.62962962962963,918,25000,2,0.01,10,"25000 2 0.01","8"
"81",81,0.961425576519916,0.901295384054005,0.960591133004926,0.555555555555556,15846,25000,2,5e-04,1,"25000 2 5e-04","9"
"82",82,0.966194968553459,0.856230614851304,0.955665024630542,0.537037037037037,14031,25000,2,5e-04,2,"25000 2 5e-04","9"
"83",83,0.957092941998602,0.892811530742565,0.940886699507389,0.62962962962963,12376,25000,2,5e-04,3,"25000 2 5e-04","9"
"84",84,0.94461332401584,0.94280240831965,0.970443349753695,0.611111111111111,10372,25000,2,5e-04,4,"25000 2 5e-04","9"
"85",85,0.961600279524808,0.915526363802226,0.955665024630542,0.5,15444,25000,2,5e-04,5,"25000 2 5e-04","9"
"86",86,0.962095271372001,0.883415435139573,0.96551724137931,0.574074074074074,14729,25000,2,5e-04,6,"25000 2 5e-04","9"
"87",87,0.946412764966224,0.937420178799489,0.975369458128079,0.666666666666667,10806,25000,2,5e-04,7,"25000 2 5e-04","9"
"88",88,0.961052876776147,0.896916621054552,0.950738916256158,0.611111111111111,14711,25000,2,5e-04,8,"25000 2 5e-04","9"
"89",89,0.968396226415094,0.909505564677978,0.96551724137931,0.537037037037037,19595,25000,2,5e-04,9,"25000 2 5e-04","9"
"90",90,0.96070929419986,0.912607188469257,0.955665024630542,0.648148148148148,17208,25000,2,5e-04,10,"25000 2 5e-04","9"
