"species","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete"
"Dobsonia praedatrix","Dobsonia_praedatrix","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_praedatrix",0,1,0,"keep","drop",0,"yes"
"Dobsonia viridis","Dobsonia_viridis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_viridis",0,1,1,"keep","keep",0,"yes"
"Dryadonycteris capixaba","Dryadonycteris_capixaba","Dryadonycteris","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Dyacopterus brooksi","Dyacopterus_brooksi","Dyacopterus","PTEROPODIDAE","Yinpterochiroptera","Dyacopterus_brooksi",0,0,0,"drop","drop",0,"yes"
"Dyacopterus rickarti","Dyacopterus_rickarti","Dyacopterus","PTEROPODIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Dyacopterus spadiceus","Dyacopterus_spadiceus","Dyacopterus","PTEROPODIDAE","Yinpterochiroptera","Dyacopterus_spadiceus",5,0,0,"keep","keep",0,"yes"
"Ectophylla alba","Ectophylla_alba","Ectophylla","PHYLLOSTOMIDAE","Yangochiroptera","Ectophylla_alba",0,7,0,"keep","drop",0,"yes"
"Eidolon dupreanum","Eidolon_dupreanum","Eidolon","PTEROPODIDAE","Yinpterochiroptera","Eidolon_dupreanum",22,9,6,"keep","keep",0,"yes"
"Eidolon helvum","Eidolon_helvum","Eidolon","PTEROPODIDAE","Yinpterochiroptera","Eidolon_helvum",1247,121,63,"keep","keep",0,"yes"
"Emballonura alecto","Emballonura_alecto","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_alecto",0,0,0,"drop","drop",0,"yes"
"Emballonura atrata","Emballonura_atrata","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_atrata",0,0,0,"drop","drop",0,"yes"
"Emballonura beccarii","Emballonura_beccarii","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_beccarii",0,0,0,"drop","drop",0,"yes"
"Emballonura dianae","Emballonura_dianae","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_dianae",0,0,0,"drop","drop",0,"yes"
"Emballonura furax","Emballonura_furax","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_furax",0,0,0,"drop","drop",1,"yes"
"Emballonura monticola","Emballonura_monticola","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_monticola",0,1,0,"keep","drop",1,"yes"
"Emballonura raffrayana","Emballonura_raffrayana","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_raffrayana",0,0,0,"drop","drop",0,"yes"
"Emballonura semicaudata","Emballonura_semicaudata","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_semicaudata",0,0,0,"drop","drop",0,"yes"
"Emballonura serii","Emballonura_serii","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_serii",0,0,0,"drop","drop",0,"yes"
"Emballonura tiavato","Emballonura_tiavato","Emballonura","EMBALLONURIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Enchisthenes hartii","Enchisthenes_hartii","Enchisthenes","PHYLLOSTOMIDAE","Yangochiroptera","Enchisthenes_hartii",0,2,0,"keep","drop",0,"yes"
"Eonycteris major","Eonycteris_major","Eonycteris","PTEROPODIDAE","Yinpterochiroptera","Eonycteris_major",0,0,0,"drop","drop",0,"yes"
"Eonycteris robusta","Eonycteris_robusta","Eonycteris","PTEROPODIDAE","Yinpterochiroptera","Eonycteris_robusta",0,0,0,"drop","drop",0,"yes"
"Eonycteris spelaea","Eonycteris_spelaea","Eonycteris","PTEROPODIDAE","Yinpterochiroptera","Eonycteris_spelaea",228,30,14,"keep","keep",0,"yes"
"Epomophorus angolensis","Epomophorus_angolensis","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_angolensis",0,0,0,"drop","drop",NA,"yes"
"Epomophorus anselli","Epomophorus_anselli","Epomophorus","PTEROPODIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Epomophorus crypturus","Epomophorus_crypturus","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_crypturus",0,1,0,"keep","drop",0,"yes"
"Epomophorus gambianus","Epomophorus_gambianus","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_gambianus",63,14,8,"keep","keep",1,"yes"
"Epomophorus grandis","Epomophorus_grandis","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_grandis",0,0,0,"drop","drop",NA,"yes"
"Epomophorus labiatus","Epomophorus_labiatus","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_labiatus",18,2,2,"keep","keep",0,"yes"
"Epomophorus minimus","Epomophorus_minimus","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_minimus",0,0,0,"drop","drop",NA,"yes"
"Epomophorus wahlbergi","Epomophorus_wahlbergi","Epomophorus","PTEROPODIDAE","Yinpterochiroptera","Epomophorus_wahlbergi",22,14,0,"keep","keep",1,"yes"
"Epomops buettikoferi","Epomops_buettikoferi","Epomops","PTEROPODIDAE","Yinpterochiroptera","Epomops_buettikoferi",4,2,2,"keep","keep",0,"yes"
"Epomops dobsonii","Epomops_dobsonii","Epomops","PTEROPODIDAE","Yinpterochiroptera","Epomops_dobsonii",3,0,0,"keep","keep",0,"yes"
"Epomops franqueti","Epomops_franqueti","Epomops","PTEROPODIDAE","Yinpterochiroptera","Epomops_franqueti",77,12,7,"keep","keep",0,"yes"
"Eptesicus andinus","Eptesicus_andinus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_andinus",0,0,0,"drop","drop",NA,"yes"
"Eptesicus bobrinskoi","Eptesicus_bobrinskoi","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_bobrinskoi",0,0,0,"drop","drop",NA,"yes"
"Eptesicus bottae","Eptesicus_bottae","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_bottae",0,2,0,"keep","drop",1,"yes"
"Eptesicus brasiliensis","Eptesicus_brasiliensis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_brasiliensis",11,2,0,"keep","keep",1,"yes"
"Eptesicus chiriquinus","Eptesicus_chiriquinus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_chiriquinus",0,0,0,"drop","drop",NA,"yes"
"Eptesicus diminutus","Eptesicus_diminutus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_diminutus",17,4,0,"keep","keep",NA,"yes"
"Eptesicus dimissus","Eptesicus_dimissus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_dimissus",0,0,0,"drop","drop",NA,"yes"
"Eptesicus floweri","Eptesicus_floweri","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_floweri",0,0,0,"drop","drop",NA,"yes"
"Eptesicus furinalis","Eptesicus_furinalis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_furinalis",157,10,4,"keep","keep",1,"yes"
"Eptesicus fuscus","Eptesicus_fuscus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_fuscus",944,514,72,"keep","keep",1,"yes"
"Eptesicus gobiensis","Eptesicus_gobiensis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_gobiensis",0,0,0,"drop","drop",1,"yes"
"Eptesicus guadeloupensis","Eptesicus_guadeloupensis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_guadeloupensis",0,0,0,"drop","drop",0,"yes"
"Eptesicus hottentotus","Eptesicus_hottentotus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_hottentotus",3,3,0,"keep","keep",1,"yes"
"Eptesicus innoxius","Eptesicus_innoxius","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_innoxius",0,0,0,"drop","drop",0,"yes"
"Eptesicus isabellinus","Eptesicus_isabellinus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera",NA,36,10,8,"keep","keep",1,"yes"
"Eptesicus japonensis","Eptesicus_japonensis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_japonensis",7,0,0,"keep","keep",1,"yes"
"Eptesicus kobayashii","Eptesicus_kobayashii","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_kobayashii",0,0,0,"drop","drop",NA,"yes"
"Eptesicus lobatus","Eptesicus_lobatus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Eptesicus nasutus","Eptesicus_nasutus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_nasutus",0,0,0,"drop","drop",1,"yes"
"Eptesicus nilssonii","Eptesicus_nilssonii","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_nilssonii",15,19,3,"keep","keep",1,"yes"
"Eptesicus pachyomus","Eptesicus_pachyomus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Eptesicus pachyotis","Eptesicus_pachyotis","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_pachyotis",0,0,0,"drop","drop",0,"yes"
"Eptesicus platyops","Eptesicus_platyops","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_platyops",0,0,0,"drop","drop",NA,"yes"
"Eptesicus serotinus","Eptesicus_serotinus","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_serotinus",373,79,56,"keep","keep",1,"yes"
"Eptesicus tatei","Eptesicus_tatei","Eptesicus","VESPERTILIONIDAE","Yangochiroptera","Eptesicus_tatei",0,0,0,"drop","drop",NA,"yes"
"Erophylla bombifrons","Erophylla_bombifrons","Erophylla","PHYLLOSTOMIDAE","Yangochiroptera","Erophylla_bombifrons",0,1,0,"keep","drop",0,"yes"
"Erophylla sezekorni","Erophylla_sezekorni","Erophylla","PHYLLOSTOMIDAE","Yangochiroptera","Erophylla_sezekorni",0,5,0,"keep","drop",0,"yes"
"Euderma maculatum","Euderma_maculatum","Euderma","VESPERTILIONIDAE","Yangochiroptera","Euderma_maculatum",7,5,1,"keep","keep",0,"yes"
"Eudiscoderma thongareeae","Eudiscoderma_thongareeae","Eudiscoderma","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Eudiscopus denticulus","Eudiscopus_denticulus","Eudiscopus","VESPERTILIONIDAE","Yangochiroptera","Eudiscopus_denticulus",0,1,0,"keep","drop",0,"yes"
"Eumops auripendulus","Eumops_auripendulus","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_auripendulus",11,2,1,"keep","keep",1,"yes"
"Eumops bonariensis","Eumops_bonariensis","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_bonariensis",5,1,0,"keep","keep",1,"yes"
"Eumops chiribaya","Eumops_chiribaya","Eumops","MOLOSSIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Eumops dabbenei","Eumops_dabbenei","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_dabbenei",0,0,0,"drop","drop",1,"yes"
"Eumops ferox","Eumops_ferox","Eumops","MOLOSSIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Eumops floridanus","Eumops_floridanus","Eumops","MOLOSSIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Eumops glaucinus","Eumops_glaucinus","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_glaucinus",10,6,0,"keep","keep",1,"yes"
"Eumops hansae","Eumops_hansae","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_hansae",0,0,0,"drop","drop",0,"yes"
"Eumops maurus","Eumops_maurus","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_maurus",0,1,0,"keep","drop",1,"yes"
"Eumops patagonicus","Eumops_patagonicus","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_patagonicus",3,2,1,"keep","keep",1,"yes"
"Eumops perotis","Eumops_perotis","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_perotis",7,7,2,"keep","keep",1,"yes"
"Eumops trumbulli","Eumops_trumbulli","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_trumbulli",0,0,0,"drop","drop",1,"yes"
"Eumops underwoodi","Eumops_underwoodi","Eumops","MOLOSSIDAE","Yangochiroptera","Eumops_underwoodi",0,0,0,"drop","drop",NA,"yes"
"Eumops wilsoni","Eumops_wilsoni","Eumops","MOLOSSIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Falsistrellus affinis","Falsistrellus_affinis","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_affinis",0,0,0,"drop","drop",1,"yes"
"Falsistrellus mackenziei","Falsistrellus_mackenziei","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_mackenziei",3,1,1,"keep","keep",0,"yes"
"Falsistrellus mordax","Falsistrellus_mordax","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_mordax",0,0,0,"drop","drop",NA,"yes"
"Falsistrellus petersi","Falsistrellus_petersi","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_petersi",0,0,0,"drop","drop",1,"yes"
"Falsistrellus tasmaniensis","Falsistrellus_tasmaniensis","Falsistrellus","VESPERTILIONIDAE","Yangochiroptera","Falsistrellus_tasmaniensis",0,0,0,"drop","drop",1,"yes"
"Furipterus horrens","Furipterus_horrens","Furipterus","FURIPTERIDAE","Yangochiroptera","Furipterus_horrens",0,2,0,"keep","drop",0,"yes"
"Glauconycteris alboguttata","Glauconycteris_alboguttata","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_alboguttata",0,0,0,"drop","drop",0,"yes"
"Glauconycteris argentata","Glauconycteris_argentata","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_argentata",3,0,0,"keep","keep",0,"yes"
"Glauconycteris beatrix","Glauconycteris_beatrix","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_beatrix",0,2,0,"keep","drop",0,"yes"
"Glauconycteris curryae","Glauconycteris_curryae","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_curryae",0,1,0,"keep","drop",0,"yes"
"Glauconycteris egeria","Glauconycteris_egeria","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_egeria",0,0,0,"drop","drop",0,"yes"
"Glauconycteris gleni","Glauconycteris_gleni","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_gleni",0,0,0,"drop","drop",0,"yes"
"Glauconycteris humeralis","Glauconycteris_humeralis","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_humeralis",0,0,0,"drop","drop",0,"yes"
"Glauconycteris kenyacola","Glauconycteris_kenyacola","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_kenyacola",0,0,0,"drop","drop",0,"yes"
"Glauconycteris machadoi","Glauconycteris_machadoi","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_machadoi",0,0,0,"drop","drop",0,"yes"
"Glauconycteris poensis","Glauconycteris_poensis","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_poensis",0,2,0,"keep","drop",0,"yes"
"Glauconycteris superba","Glauconycteris_superba","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_superba",0,1,0,"keep","drop",NA,"yes"
"Glauconycteris variegata","Glauconycteris_variegata","Glauconycteris","VESPERTILIONIDAE","Yangochiroptera","Glauconycteris_variegata",1,0,0,"keep","keep",1,"yes"
"Glischropus aquilus","Glischropus_aquilus","Glischropus","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Glischropus bucephalus","Glischropus_bucephalus","Glischropus","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Glischropus javanus","Glischropus_javanus","Glischropus","VESPERTILIONIDAE","Yangochiroptera","Glischropus_javanus",0,0,0,"drop","drop",0,"yes"
"Glischropus tylopus","Glischropus_tylopus","Glischropus","VESPERTILIONIDAE","Yangochiroptera","Glischropus_tylopus",0,1,0,"keep","drop",0,"yes"
"Glossophaga commissarisi","Glossophaga_commissarisi","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_commissarisi",6,7,0,"keep","keep",1,"yes"
"Glossophaga leachii","Glossophaga_leachii","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_leachii",0,0,0,"drop","drop",1,"yes"
"Glossophaga longirostris","Glossophaga_longirostris","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_longirostris",2,5,1,"keep","keep",1,"yes"
"Glossophaga morenoi","Glossophaga_morenoi","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_morenoi",3,0,0,"keep","keep",1,"yes"
"Glossophaga soricina","Glossophaga_soricina","Glossophaga","PHYLLOSTOMIDAE","Yangochiroptera","Glossophaga_soricina",74,109,7,"keep","keep",1,"yes"
"Glyphonycteris behnii","Glyphonycteris_behnii","Glyphonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Glyphonycteris_behnii",0,0,0,"drop","drop",NA,"yes"
"Glyphonycteris daviesi","Glyphonycteris_daviesi","Glyphonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Glyphonycteris_daviesi",0,0,0,"drop","drop",0,"yes"
"Glyphonycteris sylvestris","Glyphonycteris_sylvestris","Glyphonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Glyphonycteris_sylvestris",0,1,0,"keep","drop",0,"yes"
"Haplonycteris fischeri","Haplonycteris_fischeri","Haplonycteris","PTEROPODIDAE","Yinpterochiroptera","Haplonycteris_fischeri",0,2,0,"keep","drop",0,"yes"
"Harpiocephalus harpia","Harpiocephalus_harpia","Harpiocephalus","VESPERTILIONIDAE","Yangochiroptera","Harpiocephalus_harpia",0,2,0,"keep","drop",0,"yes"
"Harpiocephalus mordax","Harpiocephalus_mordax","Harpiocephalus","VESPERTILIONIDAE","Yangochiroptera","Harpiocephalus_mordax",0,0,0,"drop","drop",0,"yes"
"Harpiola grisea","Harpiola_grisea","Harpiola","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Harpiola isodon","Harpiola_isodon","Harpiola","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Harpyionycteris celebensis","Harpyionycteris_celebensis","Harpyionycteris","PTEROPODIDAE","Yinpterochiroptera","Harpyionycteris_celebensis",0,0,0,"drop","drop",NA,"yes"
"Harpyionycteris whiteheadi","Harpyionycteris_whiteheadi","Harpyionycteris","PTEROPODIDAE","Yinpterochiroptera","Harpyionycteris_whiteheadi",0,0,0,"drop","drop",0,"yes"
"Hesperoptenus blanfordi","Hesperoptenus_blanfordi","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_blanfordi",0,1,0,"keep","drop",0,"yes"
"Hesperoptenus doriae","Hesperoptenus_doriae","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_doriae",0,0,0,"drop","drop",0,"yes"
"Hesperoptenus gaskelli","Hesperoptenus_gaskelli","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_gaskelli",0,0,0,"drop","drop",0,"yes"
"Hesperoptenus tickelli","Hesperoptenus_tickelli","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_tickelli",0,0,0,"drop","drop",0,"yes"
"Hesperoptenus tomesi","Hesperoptenus_tomesi","Hesperoptenus","VESPERTILIONIDAE","Yangochiroptera","Hesperoptenus_tomesi",0,0,0,"drop","drop",0,"yes"
"Hipposideros abae","Hipposideros_abae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_abae",26,1,1,"keep","keep",0,"yes"
"Hipposideros alongensis","Hipposideros_alongensis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Hipposideros armiger","Hipposideros_armiger","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_armiger",105,44,6,"keep","keep",1,"yes"
"Hipposideros ater","Hipposideros_ater","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_ater",0,1,0,"keep","drop",1,"yes"
"Hipposideros beatus","Hipposideros_beatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_beatus",2,1,0,"keep","keep",1,"yes"
"Hipposideros bicolor","Hipposideros_bicolor","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_bicolor",9,6,1,"keep","keep",0,"yes"
"Hipposideros boeadii","Hipposideros_boeadii","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Hipposideros breviceps","Hipposideros_breviceps","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_breviceps",0,0,0,"drop","drop",0,"yes"
"Hipposideros caffer","Hipposideros_caffer","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_caffer",317,8,3,"keep","keep",1,"yes"
"Hipposideros calcaratus","Hipposideros_calcaratus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_calcaratus",0,0,0,"drop","drop",1,"yes"
"Hipposideros camerunensis","Hipposideros_camerunensis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_camerunensis",0,0,0,"drop","drop",NA,"yes"
"Hipposideros cervinus","Hipposideros_cervinus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_cervinus",17,2,0,"keep","keep",1,"yes"
"Hipposideros cineraceus","Hipposideros_cineraceus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_cineraceus",25,1,1,"keep","keep",0,"yes"
"Hipposideros commersoni","Hipposideros_commersoni","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_commersoni",24,6,3,"keep","keep",0,"yes"
"Hipposideros coronatus","Hipposideros_coronatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_coronatus",0,0,0,"drop","drop",0,"yes"
"Hipposideros corynophyllus","Hipposideros_corynophyllus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_corynophyllus",0,0,0,"drop","drop",0,"yes"
"Hipposideros coxi","Hipposideros_coxi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_coxi",0,0,0,"drop","drop",0,"yes"
"Hipposideros crumeniferus","Hipposideros_crumeniferus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_crumeniferus",0,0,0,"drop","drop",NA,"yes"
"Hipposideros curtus","Hipposideros_curtus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_curtus",0,0,0,"drop","drop",1,"yes"
"Hipposideros cyclops","Hipposideros_cyclops","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_cyclops",23,5,1,"keep","keep",1,"yes"
"Hipposideros demissus","Hipposideros_demissus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_demissus",0,0,0,"drop","drop",0,"yes"
"Hipposideros diadema","Hipposideros_diadema","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_diadema",17,9,1,"keep","keep",1,"yes"
"Hipposideros dinops","Hipposideros_dinops","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_dinops",0,0,0,"drop","drop",0,"yes"
"Hipposideros doriae","Hipposideros_doriae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_doriae",0,0,0,"drop","drop",NA,"yes"
"Hipposideros durgadasi","Hipposideros_durgadasi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_durgadasi",0,1,0,"keep","drop",0,"yes"
"Hipposideros dyacorum","Hipposideros_dyacorum","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_dyacorum",0,0,0,"drop","drop",0,"yes"
"Hipposideros edwardshilli","Hipposideros_edwardshilli","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_edwardshilli",0,0,0,"drop","drop",0,"yes"
"Hipposideros einnaythu","Hipposideros_einnaythu","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Hipposideros fuliginosus","Hipposideros_fuliginosus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_fuliginosus",4,1,0,"keep","keep",0,"yes"
"Hipposideros fulvus","Hipposideros_fulvus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_fulvus",0,7,0,"keep","drop",1,"yes"
"Hipposideros galeritus","Hipposideros_galeritus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_galeritus",21,2,0,"keep","keep",1,"yes"
"Hipposideros gigas","Hipposideros_gigas","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_gigas",194,3,2,"keep","keep",0,"yes"
"Hipposideros grandis","Hipposideros_grandis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_grandis",4,0,0,"keep","keep",NA,"yes"
"Hipposideros griffini","Hipposideros_griffini","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Hipposideros halophyllus","Hipposideros_halophyllus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_halophyllus",0,0,0,"drop","drop",0,"yes"
"Hipposideros hypophyllus","Hipposideros_hypophyllus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_hypophyllus",0,0,0,"drop","drop",0,"yes"
"Hipposideros inexpectatus","Hipposideros_inexpectatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_inexpectatus",0,0,0,"drop","drop",0,"yes"
"Hipposideros inornatus","Hipposideros_inornatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_inornatus",0,0,0,"drop","drop",1,"yes"
"Hipposideros jonesi","Hipposideros_jonesi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_jonesi",1,0,0,"keep","keep",1,"yes"
"Hipposideros khaokhouayensis","Hipposideros_khaokhouayensis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Hipposideros lamottei","Hipposideros_lamottei","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_lamottei",0,0,0,"drop","drop",1,"yes"
"Hipposideros lankadiva","Hipposideros_lankadiva","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_lankadiva",4,3,0,"keep","keep",1,"yes"
"Hipposideros larvatus","Hipposideros_larvatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_larvatus",113,17,4,"keep","keep",1,"yes"
"Hipposideros lekaguli","Hipposideros_lekaguli","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_lekaguli",54,1,1,"keep","keep",0,"yes"
