"litters_per_year_n","Synurbic","adult_body_length_mm","altitude_breadth_m","lower_elevation_m","upper_elevation_m","litter_size_n","island_dwelling","disected_by_mountains","glaciation","det_inv","det_vend","det_vect","det_vfish","det_fruit","det_nect","det_diet_breadth_n","adult_forearm_length_mm","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","habitat_breadth_n","foraging_stratum","activity_cycle","biogeographical_realm","adult_mass_g","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","virus","cites","vcites","zvirus","fam_EMBALLONURIDAE","fam_HIPPOSIDERIDAE","fam_MOLOSSIDAE","fam_PHYLLOSTOMIDAE","fam_PTEROPODIDAE","fam_VESPERTILIONIDAE","dum_virus","dum_zvirus"
1,"1",NA,1950,50,2000,0.995,0,"1","0",100,0,0,0,0,0,1,35.99,437429.66,-0.56,-21.74,-11.15,-68.67,-81.35,-75.01,0,60.47,0,0.07,34.8,102.52,513.18,1285.52,1,"A","1","Neotropical",4.15,100,0,0,"3",0,0,0,0,"0","0","0","0","0","0",0,0
NA,"1",NA,900,500,1400,NA,NA,NA,NA,100,0,0,0,0,0,1,55.5,452875.3,9.89,5.71,7.8,0.02,-12.36,-6.17,3,45.56,5,0.1,141.3,259.36,1223.53,1546.69,3,"A","1","Afrotropical",24.9,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,NA,NA,NA,0.98,1,"1","0",100,0,0,0,0,0,1,59.99,3785609.68,27.47,-10.37,8.55,127.3,87.94,107.62,1,177.89,9,0.09,176.61,229.17,1257.98,1511.2,2,"A","1",NA,19.95,100,0,0,"3",113,17,4,5,"0","1","0","0","0","0",1,1
NA,NA,NA,220,180,400,0.99,NA,NA,NA,100,0,0,0,0,0,1,43.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"A","1","Indomalayan",8.7,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
1,"1",NA,1000,0,1000,0.99,NA,NA,NA,100,0,0,0,0,0,1,83.5,2165475.54,27.43,5.91,16.67,90.83,72.5,81.66,22,357.13,94,0.09,102.77,255.1,807.22,1486.9,2,"A","1","Indomalayan",44.76,100,0,0,"3",4,3,0,1,"0","1","0","0","0","0",1,1
NA,NA,NA,200,0,200,NA,1,"0","0",100,0,0,0,0,0,1,49.5,15373.46,-6.08,-9.94,-8.01,160.83,155.23,158.03,13,14.22,13,0.16,189.75,262.79,-999,-999,1,"A","1","Australasian",17.94,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,1000,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5493.35,-1.15,-5.13,-3.14,123.55,119.58,121.56,31,65.91,31,0.06,240.34,219.34,-999,-999,2,"A","1","Australasian",116.08,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
1,"0",136.25,1350,0,1350,0.995,1,"1","0",100,0,0,0,0,0,1,95.99,17699930.41,17.49,-26.57,-4.54,50.48,-16.82,16.82,0,31.51,1,0.13,91.07,241.05,913.23,1553.76,2,"A","1","Afrotropical",109.995,100,0,0,"3",24,6,3,2,"0","1","0","0","0","0",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,1,45.5,68.95,3.07,2.99,3.03,101.49,101.4,101.45,299,361.01,299,0.21,167,267,1626,1964,NA,"A","1","Indomalayan",14.09,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,650,0,650,NA,0,"0","0",100,0,0,0,0,0,1,40.5,32672.05,8.29,6.57,7.43,-7.15,-9.93,-8.54,5,29.89,5,0.02,172.74,239.73,1279.73,1454.89,3,"A","1","Afrotropical",10.09,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
