"","tip","species","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","Synurbic","filter","vfilter"
"43","Balantiopteryx_infusca","Balantiopteryx infusca","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_infusca",0,0,0,NA,"drop","drop"
"44","Balantiopteryx_io","Balantiopteryx io","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_io",0,0,0,NA,"drop","drop"
"45","Balantiopteryx_plicata","Balantiopteryx plicata","Balantiopteryx","EMBALLONURIDAE","Yangochiroptera","Balantiopteryx_plicata",0,6,0,NA,"keep","drop"
"46","Balionycteris_maculata","Balionycteris maculata","Balionycteris","PTEROPODIDAE","Yinpterochiroptera","Balionycteris_maculata",1,0,0,NA,"keep","keep"
"47","Barbastella_barbastellus","Barbastella barbastellus","Barbastella","VESPERTILIONIDAE","Yangochiroptera","Barbastella_barbastellus",10,24,2,NA,"keep","keep"
"48","Barbastella_beijingensis","Barbastella beijingensis","Barbastella","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,NA,"drop","drop"
"49","Barbastella_leucomelas","Barbastella leucomelas","Barbastella","VESPERTILIONIDAE","Yangochiroptera","Barbastella_leucomelas",0,1,0,NA,"keep","drop"
"50","Bauerus_dubiaquercus","Bauerus dubiaquercus","Bauerus","VESPERTILIONIDAE","Yangochiroptera","Bauerus_dubiaquercus",2,0,0,NA,"keep","keep"
"51","Brachyphylla_cavernarum","Brachyphylla cavernarum","Brachyphylla","PHYLLOSTOMIDAE","Yangochiroptera","Brachyphylla_cavernarum",0,4,1,0,"keep","keep"
"52","Brachyphylla_nana","Brachyphylla nana","Brachyphylla","PHYLLOSTOMIDAE","Yangochiroptera","Brachyphylla_nana",0,0,0,NA,"drop","drop"
"53","Cardioderma_cor","Cardioderma cor","Cardioderma","MEGADERMATIDAE","Yinpterochiroptera","Cardioderma_cor",10,3,0,0,"keep","keep"
"54","Carollia_benkeithi","Carollia benkeithi","Carollia","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,NA,"drop","drop"
"55","Carollia_brevicauda","Carollia brevicauda","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_brevicauda",21,19,1,NA,"keep","keep"
"56","Carollia_castanea","Carollia castanea","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_castanea",0,4,1,NA,"keep","keep"
"57","Carollia_manu","Carollia manu","Carollia","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,1,0,NA,"keep","drop"
"58","Carollia_perspicillata","Carollia perspicillata","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_perspicillata",167,203,19,NA,"keep","keep"
"59","Carollia_sowelli","Carollia sowelli","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_sowelli",20,8,1,NA,"keep","keep"
"60","Carollia_subrufa","Carollia subrufa","Carollia","PHYLLOSTOMIDAE","Yangochiroptera","Carollia_subrufa",3,0,0,NA,"keep","keep"
"61","Casinycteris_argynnis","Casinycteris argynnis","Casinycteris","PTEROPODIDAE","Yinpterochiroptera","Casinycteris_argynnis",0,3,0,NA,"keep","drop"
"62","Casinycteris_campomaanensis","Casinycteris campomaanensis","Casinycteris","PTEROPODIDAE","Yinpterochiroptera",NA,0,1,0,NA,"keep","drop"
"63","Casinycteris_ophiodon","Casinycteris ophiodon","Casinycteris","PTEROPODIDAE","Yinpterochiroptera","Scotonycteris_ophiodon",0,0,0,NA,"drop","drop"
"64","Centronycteris_centralis","Centronycteris centralis","Centronycteris","EMBALLONURIDAE","Yangochiroptera","Centronycteris_centralis",0,1,0,NA,"keep","drop"
"65","Centronycteris_maximiliani","Centronycteris maximiliani","Centronycteris","EMBALLONURIDAE","Yangochiroptera","Centronycteris_maximiliani",0,3,0,NA,"keep","drop"
"66","Centurio_senex","Centurio senex","Centurio","PHYLLOSTOMIDAE","Yangochiroptera","Centurio_senex",0,1,0,NA,"keep","drop"
"67","Chaerephon_aloysiisabaudiae","Chaerephon aloysiisabaudiae","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_aloysiisabaudiae",0,0,0,NA,"drop","drop"
"68","Chaerephon_ansorgei","Chaerephon ansorgei","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_ansorgei",0,0,0,NA,"drop","drop"
"69","Chaerephon_atsinanana","Chaerephon atsinanana","Chaerephon","MOLOSSIDAE","Yangochiroptera",NA,0,0,0,NA,"drop","drop"
"70","Chaerephon_bemmeleni","Chaerephon bemmeleni","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_bemmeleni",0,0,0,NA,"drop","drop"
"71","Chaerephon_bivittatus","Chaerephon bivittatus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_bivittatus",0,1,0,NA,"keep","drop"
"72","Chaerephon_bregullae","Chaerephon bregullae","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_bregullae",0,0,0,NA,"drop","drop"
"73","Chaerephon_chapini","Chaerephon chapini","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_chapini",0,0,0,NA,"drop","drop"
"74","Chaerephon_gallagheri","Chaerephon gallagheri","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_gallagheri",0,0,0,NA,"drop","drop"
"75","Chaerephon_jobensis","Chaerephon jobensis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_jobensis",0,0,0,NA,"drop","drop"
"76","Chaerephon_johorensis","Chaerephon johorensis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_johorensis",0,0,0,NA,"drop","drop"
"77","Chaerephon_major","Chaerephon major","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_major",0,0,0,NA,"drop","drop"
"78","Chaerephon_nigeriae","Chaerephon nigeriae","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_nigeriae",0,1,1,NA,"keep","keep"
"79","Chaerephon_plicatus","Chaerephon plicatus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_plicatus",46,3,0,NA,"keep","keep"
"80","Chaerephon_pumilus","Chaerephon pumilus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_pumilus",108,5,3,NA,"keep","keep"
"81","Chaerephon_russatus","Chaerephon russatus","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_russatus",0,0,0,NA,"drop","drop"
"82","Chaerephon_solomonis","Chaerephon solomonis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_solomonis",0,0,0,NA,"drop","drop"
"83","Chaerephon_tomensis","Chaerephon tomensis","Chaerephon","MOLOSSIDAE","Yangochiroptera","Chaerephon_tomensis",0,0,0,NA,"drop","drop"
"84","Chalinolobus_dwyeri","Chalinolobus dwyeri","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_dwyeri",0,0,0,NA,"drop","drop"
"85","Chalinolobus_gouldii","Chalinolobus gouldii","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_gouldii",16,15,1,NA,"keep","keep"
"86","Chalinolobus_morio","Chalinolobus morio","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_morio",10,2,0,NA,"keep","keep"
"87","Chalinolobus_neocaledonicus","Chalinolobus neocaledonicus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_neocaledonicus",0,1,0,NA,"keep","drop"
"88","Chalinolobus_nigrogriseus","Chalinolobus nigrogriseus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_nigrogriseus",0,1,0,NA,"keep","drop"
"89","Chalinolobus_picatus","Chalinolobus picatus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_picatus",0,0,0,NA,"drop","drop"
"90","Chalinolobus_tuberculatus","Chalinolobus tuberculatus","Chalinolobus","VESPERTILIONIDAE","Yangochiroptera","Chalinolobus_tuberculatus",0,4,1,NA,"keep","keep"
"91","Cheiromeles_parvidens","Cheiromeles parvidens","Cheiromeles","MOLOSSIDAE","Yangochiroptera","Cheiromeles_parvidens",0,0,0,NA,"drop","drop"
"92","Cheiromeles_torquatus","Cheiromeles torquatus","Cheiromeles","MOLOSSIDAE","Yangochiroptera","Cheiromeles_torquatus",0,3,0,NA,"keep","drop"
"93","Chilonatalus_micropus","Chilonatalus micropus","Chilonatalus","NATALIDAE","Yangochiroptera","Chilonatalus_micropus",0,0,0,NA,"drop","drop"
"94","Chilonatalus_tumidifrons","Chilonatalus tumidifrons","Chilonatalus","NATALIDAE","Yangochiroptera","Chilonatalus_tumidifrons",0,0,0,NA,"drop","drop"
"95","Chiroderma_doriae","Chiroderma doriae","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_doriae",0,1,0,NA,"keep","drop"
"96","Chiroderma_improvisum","Chiroderma improvisum","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_improvisum",0,1,0,NA,"keep","drop"
"97","Chiroderma_salvini","Chiroderma salvini","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_salvini",0,0,0,NA,"drop","drop"
"98","Chiroderma_trinitatum","Chiroderma trinitatum","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_trinitatum",0,1,0,NA,"keep","drop"
"99","Chiroderma_villosum","Chiroderma villosum","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera","Chiroderma_villosum",0,5,0,NA,"keep","drop"
"100","Chiroderma_vizottoi","Chiroderma vizottoi","Chiroderma","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,1,0,NA,"keep","drop"
"101","Chironax_melanocephalus","Chironax melanocephalus","Chironax","PTEROPODIDAE","Yinpterochiroptera","Chironax_melanocephalus",0,0,0,NA,"drop","drop"
