"","icnames","species","pcnames","ccnames","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete","iucn2020_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","zvirus","category","population_trend"
"805","Nyctimene rabori","Nyctimene rabori","Nyctimene rabori","Nyctimene rabori","Nyctimene_rabori","Nyctimene","PTEROPODIDAE","Yinpterochiroptera","Nyctimene_rabori",0,0,0,"drop","drop",0,"yes","Nyctimene rabori",68.25,NA,NA,77,NA,295.82,243.52,365.25,365,138.16,NA,1,1,NA,NA,105,NA,NA,NA,30,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1300,0,1300,1,NA,0,0,"Indomalayan",1,17815.16,12.5,9.03,10.77,124.07,122.38,123.22,97,333.53,103,0.08,140.47,258.59,1483.66,1783.72,0,"EN","Decreasing"
"806","Nyctimene robinsoni","Nyctimene robinsoni","Nyctimene robinsoni","Nyctimene robinsoni","Nyctimene_robinsoni","Nyctimene","PTEROPODIDAE","Yinpterochiroptera","Nyctimene_robinsoni",0,2,0,"keep","drop",0,"yes","Nyctimene robinsoni",48.83,1.231,NA,65.36,NA,NA,NA,NA,NA,98.93,NA,0.995,1,NA,NA,121.76,NA,NA,NA,NA,NA,2,NA,1,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Australasian",2,351920.41,-10.69,-30.78,-20.74,153.63,141.59,147.61,0,11.36,0,0.09,95.91,218.02,982.41,1579.68,0,"LC","Unknown"
"807","Nyctimene sanctacrucis","Nyctimene sanctacrucis","Nyctimene sanctacrucis","Nyctimene sanctacrucis","Nyctimene_sanctacrucis","Nyctimene","PTEROPODIDAE","Yinpterochiroptera","Nyctimene_sanctacrucis",0,0,0,"drop","drop",0,"yes","Nyctimene sanctacrucis",59.25,NA,NA,75.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Australasian",NA,504.81,-10.66,-10.88,-10.77,166.09,165.69,165.89,13,13,13,0.18,NA,NA,NA,NA,0,"DD","Unknown"
"808","Nyctimene vizcaccia","Nyctimene vizcaccia","Nyctimene vizcaccia","Nyctimene vizcaccia","Nyctimene_vizcaccia","Nyctimene","PTEROPODIDAE","Yinpterochiroptera","Nyctimene_vizcaccia",0,0,0,"drop","drop",0,"yes","Nyctimene vizcaccia",30.9,0.988,93.93,58.07,NA,228.3,228.3,NA,NA,NA,NA,0.98,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1800,0,1800,1,NA,0,0,"Australasian",1,33659.02,-1.95,-9.94,-5.95,161.39,146.5,153.94,8,13.31,8,0.16,197.47,253.93,NA,NA,0,"LC","Unknown"
"809","Nyctinomops aurispinosus","Nyctinomops aurispinosus","Nyctinomops aurispinosus","Nyctinomops aurispinosus","Nyctinomops_aurispinosus","Nyctinomops","MOLOSSIDAE","Yangochiroptera","Nyctinomops_aurispinosus",0,0,0,"drop","drop",1,"yes","Nyctinomops aurispinosus",18.43,NA,87,49.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,3150,0,3150,0,NA,1,0,"Neotropical",2,12349250.02,27.04,-23.15,1.94,-34.79,-109.48,-72.13,0,25.15,0,0.11,149.71,237.86,1281.54,1543.92,0,"LC","Unknown"
"810","Nyctinomops femorosaccus","Nyctinomops femorosaccus","Nyctinomops femorosaccus","Nyctinomops femorosaccus","Nyctinomops_femorosaccus","Nyctinomops","MOLOSSIDAE","Yangochiroptera","Nyctinomops_femorosaccus",0,1,0,"keep","drop",1,"yes","Nyctinomops femorosaccus",14.5,NA,NA,47.5,NA,NA,NA,NA,NA,80,NA,0.99,1,NA,3.5,NA,NA,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2250,0,2250,0,NA,1,0,"Nearctic, Neotropical",3,1257778.48,34.52,17.9,26.21,-100.6,-118,-109.3,0,32.89,1,0.11,31.84,178.07,510.32,1226.47,0,"LC","Stable"
"811","Nyctinomops kalinowskii","Nyctinomops kalinowskii","Nyctinomops kalinowskii","Nyctinomops kalinowskii","Nyctinomops_kalinowskii","Nyctinomops","MOLOSSIDAE","Yangochiroptera","Mormopterus_kalinowskii",0,0,0,"drop","drop",0,"yes","Nyctinomops kalinowskii",7.49,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1830,0,1830,0,NA,1,0,"Neotropical",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"LC","Unknown"
"812","Nyctinomops laticaudatus","Nyctinomops laticaudatus","Nyctinomops laticaudatus","Nyctinomops laticaudatus","Nyctinomops_laticaudatus","Nyctinomops","MOLOSSIDAE","Yangochiroptera","Nyctinomops_laticaudatus",67,17,9,"keep","keep",1,"yes","Nyctinomops laticaudatus",13.56,NA,64,43.24,NA,NA,NA,NA,NA,NA,NA,0.995,1,NA,4.01,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1500,NA,NA,0,NA,1,0,"Neotropical",2,13392624.04,23.43,-30.11,-3.34,-34.79,-100.57,-67.68,0,30.56,0,0.11,142.68,235.66,1260.44,1522.7,1,"LC","Unknown"
"813","Nyctinomops macrotis","Nyctinomops macrotis","Nyctinomops macrotis","Nyctinomops macrotis","Nyctinomops_macrotis","Nyctinomops","MOLOSSIDAE","Yangochiroptera","Nyctinomops_macrotis",13,9,4,"keep","keep",1,"yes","Nyctinomops macrotis",23,NA,NA,60.99,NA,106.54,106.54,106.54,182.64,76.1,NA,0.995,1,NA,4.94,76.1,NA,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2600,0,2600,0,NA,1,0,"Nearctic, Neotropical",1,18149920.2,39.35,-34.98,2.18,-34.79,-117.28,-76.03,0,30.69,0,0.11,127.1,222.69,1148.78,1452.7,1,"LC","Unknown"
"814","Nyctophilus arnhemensis","Nyctophilus arnhemensis","Nyctophilus arnhemensis","Nyctophilus arnhemensis","Nyctophilus_arnhemensis","Nyctophilus","VESPERTILIONIDAE","Yangochiroptera","Nyctophilus_arnhemensis",1,0,0,"keep","keep",1,"yes","Nyctophilus arnhemensis",6.83,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Australasian",2,794833.68,-11.11,-22.48,-16.8,138.4,114.39,126.4,0,0.61,0,0.0014696072108949,62.47,265.06,705.92,1751.32,1,"LC","Stable"
"815","Nyctophilus bifax","Nyctophilus bifax","Nyctophilus bifax","Nyctophilus bifax","Nyctophilus_bifax","Nyctophilus","VESPERTILIONIDAE","Yangochiroptera","Nyctophilus_bifax",0,5,0,"keep","drop",1,"yes","Nyctophilus bifax",10.605,NA,NA,43.5,365,326.81,326.81,NA,349.75,22.94,NA,2,NA,NA,1.65,44.34,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,0,0,NA,NA,1481223.75,-3.24,-29.71,-16.48,153.63,115.04,134.34,0,4.77,0,0.1,117.29,242.35,979.81,1673.79,0,"LC","Decreasing"
"816","Nyctophilus corbeni","Nyctophilus corbeni","Nyctophilus timoriensis","Nyctophilus corbeni","Nyctophilus_corbeni","Nyctophilus","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes","Nyctophilus corbeni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,2083863.67,-7.12,-43.03,-25.07,152.05,114.9,133.47,0,4.89,0,0.02,39.42,176.42,445.01,1138.22,0,"VU","Decreasing"
