"","species","gen","fam","clade","MSW3_sciName_matched","tip","vfam","Virus","dum_virus","zoo_sp","zfam","dum_zvirus"
"107","Cistugo lesueuri","Cistugo","VESPERTILIONIDAE","Yangochiroptera","Cistugo_lesueuri","Cistugo_lesueuri",0,0,0,0,0,0
"108","Cistugo seabrae","Cistugo","VESPERTILIONIDAE","Yangochiroptera","Cistugo_seabrae","Cistugo_seabrae",0,0,0,0,0,0
"109","Cloeotis percivali","Cloeotis","HIPPOSIDERIDAE","Yinpterochiroptera","Cloeotis_percivali","Cloeotis_percivali",0,0,0,0,0,0
"110","Coelops frithii","Coelops","HIPPOSIDERIDAE","Yinpterochiroptera","Coelops_frithii","Coelops_frithii",0,0,0,0,0,0
"111","Coelops hirsutus","Coelops","HIPPOSIDERIDAE","Yinpterochiroptera",NA,"Coelops_hirsutus",0,0,0,0,0,0
"112","Coelops robinsoni","Coelops","HIPPOSIDERIDAE","Yinpterochiroptera","Coelops_robinsoni","Coelops_robinsoni",0,0,0,0,0,0
"113","Coleura afra","Coleura","EMBALLONURIDAE","Yangochiroptera","Coleura_afra","Coleura_afra",13,17,1,1,1,1
"114","Coleura kibomalandy","Coleura","EMBALLONURIDAE","Yangochiroptera",NA,"Coleura_kibomalandy",1,1,1,0,0,0
"115","Coleura seychellensis","Coleura","EMBALLONURIDAE","Yangochiroptera","Coleura_seychellensis","Coleura_seychellensis",0,0,0,0,0,0
"116","Cormura brevirostris","Cormura","EMBALLONURIDAE","Yangochiroptera","Cormura_brevirostris","Cormura_brevirostris",0,0,0,0,0,0
"117","Corynorhinus mexicanus","Corynorhinus","VESPERTILIONIDAE","Yangochiroptera","Corynorhinus_mexicanus","Corynorhinus_mexicanus",0,0,0,0,0,0
"118","Corynorhinus rafinesquii","Corynorhinus","VESPERTILIONIDAE","Yangochiroptera","Corynorhinus_rafinesquii","Corynorhinus_rafinesquii",0,0,0,0,0,0
"119","Corynorhinus townsendii","Corynorhinus","VESPERTILIONIDAE","Yangochiroptera","Corynorhinus_townsendii","Corynorhinus_townsendii",1,1,1,1,1,1
"120","Craseonycteris thonglongyai","Craseonycteris","CRASEONYCTERIDAE","Yinpterochiroptera","Craseonycteris_thonglongyai","Craseonycteris_thonglongyai",0,0,0,0,0,0
"121","Cynomops abrasus","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_abrasus","Cynomops_abrasus",1,1,1,1,1,1
