Species_Name,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,Order,Family,BM,BR,Diet,WA,LS,AspectRatio,Synurbic,UrbanStatus
Asellia_patrizii,Asellia_patrizii_HIPPOSIDERIDAE_CHIROPTERA,Asellia,HIPPOSIDERIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Asellia_patrizii,0,0,imputed,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asellia_tridens,Asellia_tridens_HIPPOSIDERIDAE_CHIROPTERA,Asellia,HIPPOSIDERIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Asellia_tridens,8,0,sampled,PC19_Yinpterochiroptera,Chiroptera,Hipposideridae,11.92857,0.24,0,80.88,1,6.9,0,neither
Aselliscus_stoliczkanus,Aselliscus_stoliczkanus_HIPPOSIDERIDAE_CHIROPTERA,Aselliscus,HIPPOSIDERIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Aselliscus_stoliczkanus,13,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aselliscus_tricuspidatus,Aselliscus_tricuspidatus_HIPPOSIDERIDAE_CHIROPTERA,Aselliscus,HIPPOSIDERIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Aselliscus_tricuspidatus,4,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balantiopteryx_infusca,Balantiopteryx_infusca_EMBALLONURIDAE_CHIROPTERA,Balantiopteryx,EMBALLONURIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Balantiopteryx_infusca,1,0,sampled,PC18_EmballonuridRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balantiopteryx_io,Balantiopteryx_io_EMBALLONURIDAE_CHIROPTERA,Balantiopteryx,EMBALLONURIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Balantiopteryx_io,2,0,sampled,PC18_EmballonuridRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balantiopteryx_plicata,Balantiopteryx_plicata_EMBALLONURIDAE_CHIROPTERA,Balantiopteryx,EMBALLONURIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Balantiopteryx_plicata,3,0,sampled,PC18_EmballonuridRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balionycteris_maculata,Balionycteris_maculata_PTEROPODIDAE_CHIROPTERA,Balionycteris,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Balionycteris_maculata,5,0,sampled,PC19_Yinpterochiroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbastella_barbastellus,Barbastella_barbastellus_VESPERTILIONIDAE_CHIROPTERA,Barbastella,VESPERTILIONIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Barbastella_barbastellus,3,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbastella_beijingensis,Barbastella_beijingensis_VESPERTILIONIDAE_CHIROPTERA,Barbastella,VESPERTILIONIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,NA,2,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
